Opening,Plot,Tree.Num,Year,Type,Value
264,1,2,1972,rw,2.419
264,1,2,1973,rw,2.356
264,1,2,1974,rw,1.774
264,1,2,1975,rw,1.554
264,1,2,1976,rw,1.213
264,1,2,1977,rw,1.376
264,1,2,1978,rw,1.484
264,1,2,1979,rw,1.199
264,1,2,1980,rw,1.065
264,1,2,1981,rw,1.334
264,1,2,1982,rw,1.426
264,1,2,1983,rw,1.075
264,1,2,1984,rw,1.155
264,1,2,1985,rw,1.38
264,1,2,1986,rw,1.189
264,1,2,1987,rw,1.201
264,1,2,1988,rw,0.966
264,1,2,1989,rw,0.927
264,1,2,1990,rw,0.722
264,1,2,1991,rw,0.992
264,1,2,1992,rw,0.867
264,1,2,1993,rw,1.041
264,1,2,1994,rw,0.71
264,1,2,1995,rw,0.66
264,1,2,1996,rw,0.673
264,1,2,1997,rw,0.535
264,1,2,1998,rw,0.696
264,1,2,1999,rw,0.988
264,1,2,2000,rw,0.906
264,1,2,2001,rw,0.895
264,1,2,2002,rw,0.919
264,1,2,2003,rw,0.932
264,1,2,2004,rw,0.699
264,1,2,2005,rw,0.699
264,1,2,2006,rw,0.811
264,1,2,2007,rw,0.487
264,1,2,2008,rw,0.66
264,1,2,2009,rw,0.538
264,1,2,2010,rw,0.536
264,1,2,2011,rw,0.597
264,1,2,2012,rw,0.523
264,1,2,2013,rw,0.693
264,1,2,2014,rw,0.845
264,1,2,2015,rw,0.724
264,1,2,2016,rw,0.756
264,1,2,2017,rw,0.589
264,1,2,2018,rw,0.553
264,1,2,1966,rwd,0.619
264,1,2,1967,rwd,0.624
264,1,2,1968,rwd,0.578
264,1,2,1969,rwd,0.597
264,1,2,1970,rwd,0.486
264,1,2,1971,rwd,0.591
264,1,2,1972,rwd,0.606
264,1,2,1973,rwd,0.562
264,1,2,1974,rwd,0.595
264,1,2,1975,rwd,0.561
264,1,2,1976,rwd,0.555
264,1,2,1977,rwd,0.521
264,1,2,1978,rwd,0.59
264,1,2,1979,rwd,0.611
264,1,2,1980,rwd,0.609
264,1,2,1981,rwd,0.498
264,1,2,1982,rwd,0.566
264,1,2,1983,rwd,0.523
264,1,2,1984,rwd,0.55
264,1,2,1985,rwd,0.584
264,1,2,1986,rwd,0.614
264,1,2,1987,rwd,0.579
264,1,2,1988,rwd,0.527
264,1,2,1989,rwd,0.544
264,1,2,1990,rwd,0.552
264,1,2,1991,rwd,0.596
264,1,2,1992,rwd,0.559
264,1,2,1993,rwd,0.521
264,1,2,1994,rwd,0.523
264,1,2,1995,rwd,0.544
264,1,2,1996,rwd,0.555
264,1,2,1997,rwd,0.519
264,1,2,1998,rwd,0.381
264,1,2,1999,rwd,0.47
264,1,2,2000,rwd,0.524
264,1,2,2001,rwd,0.518
264,1,2,2002,rwd,0.508
264,1,2,2003,rwd,0.52
264,1,2,2004,rwd,0.518
264,1,2,2005,rwd,0.435
264,1,2,2006,rwd,0.483
264,1,2,2007,rwd,0.483
264,1,2,2008,rwd,0.439
264,1,2,2009,rwd,0.524
264,1,2,2010,rwd,0.565
264,1,2,2011,rwd,0.566
264,1,2,2012,rwd,0.564
264,1,2,2013,rwd,0.498
264,1,2,2014,rwd,0.427
264,1,2,2015,rwd,0.48
264,1,2,2016,rwd,0.464
264,1,2,2017,rwd,0.411
264,1,2,2018,rwd,0.521
264,10,1,1955,ew,7.565
264,10,1,1956,ew,0.537
264,10,1,1957,ew,0.41
264,10,1,1958,ew,0.459
264,10,1,1959,ew,0.31
264,10,1,1960,ew,1.083
264,10,1,1961,ew,0.458
264,10,1,1962,ew,0.305
264,10,1,1963,ew,0.299
264,10,1,1964,ew,0.175
264,10,1,1965,ew,0.246
264,10,1,1966,ew,0.241
264,10,1,1967,ew,0.236
264,10,1,1968,ew,0.409
264,10,1,1969,ew,0.246
264,10,1,1970,ew,0.174
264,10,1,1971,ew,0.3
264,10,1,1972,ew,0.224
264,10,1,1973,ew,0.246
264,10,1,1974,ew,0.255
264,10,1,1975,ew,0.175
264,10,1,1976,ew,0.225
264,10,1,1977,ew,0.174
264,10,1,1978,ew,0.149
264,10,1,1979,ew,0.088
264,10,1,1980,ew,0.125
264,10,1,1981,ew,0.314
264,10,1,1982,ew,0.298
264,10,1,1983,ew,0.185
264,10,1,1984,ew,0.385
264,10,1,1985,ew,0.197
264,10,1,1986,ew,0.187
264,10,1,1987,ew,0.363
264,10,1,1988,ew,0.223
264,10,1,1989,ew,0.176
264,10,1,1990,ew,0.323
264,10,1,1991,ew,0.763
264,10,1,1992,ew,0.273
264,10,1,1993,ew,0.327
264,10,1,1994,ew,0.215
264,10,1,1995,ew,0.264
264,10,1,1996,ew,0.225
264,10,1,1997,ew,0.324
264,10,1,1998,ew,0.337
264,10,1,1999,ew,0.362
264,10,1,2000,ew,0.784
